Date / Time,City,State,Shape,Duration,Summary,Posted
3/11/14 06:35,Boulder,CO,Other,2 minutes,Loud Noise Along with UFO flashing lights aircraft.,3/18/14
3/9/14 22:00,Centennial,CO,Light,3 hours,"Strange lights seen by 5 witnesses dipping lower, rising, changing color, and playing ""tag"" several nights in a row.",3/18/14
2/27/14 01:00,Monument,CO,Sphere,3-5 minutes,"Red orbs flying over Monument, Colorado.",3/18/14
2/23/14 18:05,Parker,CO,Sphere,1 second,"Driving down the road (heading north at 39.564284 - -104.803112), I saw a white and dark teal colored light flying above me.",2/27/14
2/21/14 21:00,Castle Rock,CO,Light,20 seconds,"Star-like flaming sphere appeared brightly then, shortly later dispersed.",2/27/14
2/20/14 18:30,Fountain,CO,Circle,30 seconds,"Dark circular object surrounded by fiery, reddish color.",2/21/14
2/15/14 18:14,Arvada,CO,Triangle,2 minutes,Red Orbs.,2/21/14
2/14/14 21:30,Loveland,CO,Unknown,1 minute,Hovering aircraft 3 bright white lights.,2/21/14
2/14/14 19:00,Pueblo,CO,Fireball,5 minutes,"8 orange, bright lights seen in Pueblo, Colorado, skies.",2/21/14
2/13/14 12:00,Colorado Springs,CO,Sphere,20-30 seconds,Clear spheres (50+) with something silver inside moving quickly in a group.,2/21/14
2/4/14 09:45,Denver,CO,Oval,60 seconds,"Black oval shaped object moving slow with no change in elevation.  Snowy conditions and low clouds, but object was well below clouds.",2/7/14
2/2/14 02:00,Aurora,CO,Unknown,,Possibly visited by aliens.,2/21/14
2/2/14 00:23,Longmont,CO,Circle,40 minutes,5 UFO's in Longmont,2/6/15
1/29/14 18:17,Longmont,CO,Disk,seconds,Fleet of disc shaped objects discovered in photograph taken in Longmont CO.,2/7/14
1/25/14 02:30,Centennial,CO,Triangle,30+ minutes,3 residents of Centennial Colorado massive UFO due west of Centennal hoving bright multi color  lights howing for over 30 minute plus.,1/30/14
1/24/14 21:40,Highlands Ranch,CO,Fireball,5 minutes,Fire orange orbs.,1/30/14
1/19/14 19:00,Vail,CO,Flash,4-5 seconds,White flash came out of complete darkness in between a cluster of stars.,1/24/14
1/18/14 03:10,Denver,CO,Light,2 minutes,Green light moving erratically over Stapleton at 3 am.,1/24/14
1/17/14 18:00,Broomfield,CO,Other,10 minutes,"Three strange lights in triangular formation, one brighter than any aircraft I have ever seen; one passed overhead.",3/18/14
1/17/14 08:30,Grand junction,CO,Light,30 minutes,"Four red lights slowly moving, high above.",1/24/14
1/16/14 18:00,Canon City,CO,Sphere,20 seconds,"Bright, round object flashed brilliant white before climbing at a high rate of speed.",1/24/14
1/13/14 18:00,Henderson/Thronton/Brighton,CO,Fireball,25 minutes,These lights were not normal aircraft.,1/16/14
1/11/14 19:30,Pueblo,CO,Sphere,30 minutes,Gold or orange sphere's appeared over Pueblo.,1/16/14
1/11/14 16:50,La Junta,CO,Oval,2 minutes,"Took picture of sunset, and noticed a green/red oval object in the clouds.",1/16/14
1/10/14 06:30,Coal Creek,CO,Sphere,20 minutes,"Large, yellowish white reflective sphere with no lights, no sound, no exhaust trail.",1/10/14
1/1/14 00:05,Colorado Springs,CO,Formation,2 minutes,"Cluster of ""stars"" move after being at a stand still.",1/10/14
1/1/14 00:00,Colorado Springs,CO,,12 minutes,The stars were alive.,1/10/14
12/31/13 20:20,Denver,CO,Light,30 minutes,Bright white orbs or points of light in cloud.,1/10/14
12/30/13 18:45,Highlands Ranch,CO,Circle,ongoing,"Red, white and blue flashing lights in the Eastern sky.  ((NUFORC Note:  Possibly Sirius??  PD))",1/10/14
12/30/13 01:00,Grand Junction,CO,Unknown,30 minutes,"Bright orange glow illuminating south Douglas Pass north of grand Junction, CO.",1/10/14
12/29/13 19:15,Greeley,CO,Circle,3 minutes,"While driving west on highway 34 business at about 65 Ave., we saw two identical lights flying together.  They crossed  our path in fro",1/10/14
12/27/13 18:15,Wellington,CO,Changing,25 minutes,Unusual moving lights over the Fort Collins area.,1/10/14
12/26/13 18:00,Monument,CO,Fireball,12-13 minutes,"Fireball-like objects over Monument, Colorado.",1/10/14
12/25/13 19:15,Loveland,CO,Oval,10 minutes,"Orange lights in the sky over Loveland, CO.",1/10/14
12/25/13 18:00,Colorado Springs,CO,Triangle,2:00 minutes,I saw 3 red or orange sphere shaped lights aligned in a triangle like shape there were very low so I knew it wasn't a airplane and it w,1/10/14
12/24/13 17:30,Denver,CO,Other,15,5 Orange Orbs lift off in north Colorado.,1/10/14
12/14/13 18:00,Sterling,CO,Rectangle,10-15 seconds,Bright flashing red light moving north easterly..,12/23/13
12/13/13 20:00,Longmont,CO,Fireball,1 minute,Crazy fireballs zigzagging in the sky like they were being controlled,12/23/13
12/13/13 19:59,Longmont,CO,Fireball,5 minutes,Viewing from Longmont CO near 21st and Hover. In the east/south sky I noticed objects that appeared as fireballs seeming to interact wi,2/21/14
12/13/13 19:31,Longmont,CO,Fireball,1 minute,3 Fireballs with a spark-like tail moving in a serpentine pattern with light fading on and off.,12/23/13
12/13/13 18:30,Lakewood,CO,Light,10 minutes,4 lights spotted in Lakewood Colorado on Kipling.,12/23/13
12/12/13 18:25,Henderson,CO,Sphere,4 minutes,Bright lights in triangle formation stationary in the sky,12/23/13
12/12/13 18:15,Lakewood,CO,Rectangle,20 minutes,"Four lights viewed from Lakewood, CO.",2/14/14
12/12/13 18:00,Denver,CO,Sphere,3 minutes,"4 lights over Denver. 2 turned into 4.  As they dropped from the first 2, very bright flare trails seen ascending.",12/23/13
12/12/13,Denver,CO,Sphere,3 minutes,I'm not sure what I saw 4-5 lights fell from the sky over Denver it looked like shooting stars but they changed direction they went da,12/23/13
12/9/13 06:16,Thornton,CO,Circle,3 minutes,"Was driving home from a friends house. seen 4 lights in the sky that were flying west in a flashing red, and orange.. they disappeared",12/12/13
12/1/13 20:00,Pueblo,CO,Other,5 seconds,"Was looking towards the east waiting for our dogs to come n. My fiance and I observed a cloudy shape moving from west to east, material",12/2/13
11/27/13 18:00,Pueblo,CO,Triangle,50 seconds,Bright Pink Stealth shaped ufo in CO,12/2/13
11/26/13 18:30,Fort Collins,CO,Disk,1.5 hours,"UFO west of Fort Collins, Colorado, November 26 2013.  ((NUFORC Note:  Sighting of Venus in SW sky.  PD))",12/2/13
11/17/13 19:30,Denver,CO,Light,1 minutes,3 falling fireworks streams changing into 3 bright hovering lights.,11/20/13
11/17/13 18:30,Westminster,CO,Fireball,30 seconds,Boomerang shaped fireballs descended from the sky in Colorado,11/20/13
11/17/13 18:16,Arvada,CO,Light,5 minutes,"Saw what looked like 2 gold flares over SE sky. Turned into 5 lights, stayed stationary then one by one the disappeared.  Then saw mult",11/20/13
11/15/13 16:00,Westminster,CO,Oval,30 seconds,Colorado UFO or Drone,11/20/13
11/12/13 16:00,Florissant,CO,Triangle,3 minutes,"Open triangle shape, spherical corners, no lights,emitting a short, thick grey 'exhaust' trail while slow moving across daylight sky.",1/16/14
11/12/13 05:15,Littleton,CO,Cylinder,4 minutes,Non-flashing bright object moving from the SW to the NE over the Denver Skyline at 5:15 am,11/20/13
11/10/13 17:00,Grand Junction,CO,Circle,35 minutes,I stepped out to have some Colorado tobacco and faceing east towards the grandmesa I looked up and saw the orange glow of the sunset re,11/20/13
11/7/13 21:47,Longmont,CO,Sphere,5-10 seconds,"Triangle pattern formed by three separate objects emitting light, adjusted formation and readjusted.",11/20/13
11/3/13 20:10,Littleton (Roxborough),CO,Chevron,7 seconds,"Glowing gold specks in an arch shape moving quickly, silently across sky.",11/11/13
11/2/13 19:00,Peyton,CO,Light,2+ hours,Very bright silent light in night sky.,11/11/13
10/31/13 19:00,Littleton,CO,Sphere,15,Object falling from sky.,11/11/13
